# Cosmic-Ray Muon Telescope - Coincidence Event Log
# Apparatus: 2-fold scintillator telescope + coincidence electronics
# Scintillator_area_cm2: 400
# Coincidence_window_ns: 50
# Discriminator_threshold_mV: 5.0
# HV_top_V: 1450   HV_bottom_V: 1470
# Run_start: 2026-08-03 14:00:00   Run_duration_s: 3600
# Columns: Timestamp_s   Pulse_Height_mV
#
  1390.620     24.54
  1398.906     11.65
  1404.654     41.80
  1408.251     38.99
  1408.503     51.36
  1410.659      9.94
  1415.471      9.34
  1417.304     65.89
  1429.700     33.51
  1434.788     26.02
  1437.692     24.29
  1439.169     32.82
  1440.785     14.73
  1444.007     33.81
  1444.543     31.10
  1447.816     11.15
  1452.513     43.78
  1453.017     55.05
  1456.841      5.00
  1457.231     20.11
  1458.513     27.19
  1459.791     73.58
  1465.170     37.18
  1468.047      5.00
  1471.412     27.09
  1471.574     14.60
  1481.395     46.31
  1488.081     34.28
  1491.306     45.96
  1492.395     15.59
  1492.547     67.97
  1494.875     24.02
  1497.422     28.98
  1497.435      7.95
  1498.430      8.63
  1498.813     26.96
  1501.248     12.22
  1502.082     27.72
  1503.227     11.61
  1504.979     20.80
  1514.933     40.83
  1515.485     20.12
  1517.720     57.11
  1523.714      9.37
  1525.142     21.64
  1531.905     15.00
  1535.536     18.64
  1541.732     38.63
  1542.754     31.34
  1544.085     17.15
  1551.366      8.30
  1551.996     24.85
  1552.137     33.47
  1554.148     27.91
  1556.097     80.91
  1558.045     13.02
  1560.437     48.14
  1560.980     61.19
  1561.509     33.11
  1562.789     11.24
  1563.263    102.27
  1563.546     28.10
  1567.211     26.20
  1568.624     34.20
  1569.678      9.31
  1570.182     43.80
  1574.000     71.72
  1574.594     13.12
  1575.432     14.60
  1578.814     21.14
  1584.375     41.82
  1593.605     58.17
  1597.170     21.57
  1601.316     27.54
  1601.891     29.81
  1603.687     90.67
  1605.285     34.17
  1605.784     62.75
  1607.841     21.74
  1613.954     30.96
  1614.766     22.43
  1618.908     27.70
  1621.468     47.76
  1622.773     19.45
  1628.741     16.30
  1640.200     19.16
  1641.579     67.31
  1657.604     23.95
  1658.108     42.56
  1660.427     46.20
  1660.543     77.59
  1665.106     25.06
  1667.734     29.06
  1667.800      7.32
  1676.353     32.80
  1678.048     21.66
  1680.214     30.99
  1688.582     26.86
  1691.011     60.61
  1693.476     25.87
  1697.444     25.85
  1704.869     19.50
  1711.480     44.77
  1717.427     19.19
  1723.746     33.15
  1723.995     13.36
  1727.008     28.60
  1728.732      5.40
  1735.348     18.06
  1741.940     13.06
  1749.436     17.47
  1754.632     37.91
  1756.012     45.28
  1757.921     65.37
  1758.118     27.62
  1759.097     25.87
  1760.412     17.15
  1761.597      9.48
  1762.763     19.57
  1763.415     52.25
  1764.214     28.66
  1765.128     10.35
  1766.145     34.24
  1766.416     71.06
  1767.843     25.77
  1768.731     13.93
  1772.150     62.07
  1774.527     29.52
  1776.039      9.26
  1779.367     42.42
  1779.478     79.71
  1779.686     16.12
  1782.836     42.45
  1784.858     17.31
  1786.897     25.08
  1791.321     52.94
  1799.009      6.66
  1799.103      5.03
  1799.148	5.05
  1799.154      6.17
  1799.323      6.82
  1799.353      6.68
  1799.452      5.58
  1799.523      5.55
  1799.615      5.20
  1799.706      6.50
  1799.722      6.65
  1799.731      6.25
  1799.787      6.74
  1799.837      6.20
  1799.838      6.25
  1799.877      5.14
  1799.898      5.87
  1799.945      5.23
  1799.967      5.46
  1800.143      6.99
  1800.190      6.56
  1800.363      5.54
  1800.417      6.69
  1800.614      6.92
  1800.656      6.52
  1800.667      6.28
  1800.792      6.40
  1800.875      5.15
  1800.997      5.54
  1802.599     73.91
  1803.118     75.09
  1803.606     39.12
  1811.164     85.32
  1813.197     53.97
  1813.992      5.00
  1819.221     12.72
  1822.432     62.69
  1824.242     13.41
  1824.485     47.41
  1825.591     22.44
  1825.750     33.12
  1831.532     32.01
  1836.554     11.20
  1843.077     22.56
  1850.374      9.41
  1850.590      7.21
  1853.112     36.10
  1854.836     15.80
  1858.376     22.91
  1861.794     98.73
  1868.366      5.00
  1874.781     35.79
  1876.170     18.71
  1877.132     52.64
  1882.600     38.34
  1883.860     30.30
  1885.241     19.89
  1885.898     20.53
  1886.947      9.00
  1888.284     41.25
  1894.447     15.90
  1905.300     41.24
  1913.236     34.90
  1913.730     35.37
  1917.746     21.70
  1918.377      9.93
  1918.525     10.65
  1921.670     19.00
  1925.138     39.26
  1925.222     25.71
  1930.532     17.14
  1932.829      5.00
  1933.874      7.21
  1934.419     37.05
  1936.984     36.33
  1938.210     20.77
  1949.051     18.91
  1954.012     29.18
  1954.820     18.87
  1955.434     30.21
  1955.473      8.51
  1958.278     18.21
  1960.495     35.64
  1964.037     49.34
  1966.424     42.05
  1973.647     75.53
  1974.701     58.96
  1977.603      7.57
  1981.551     40.90
  1981.923     20.12
  1984.415     52.04
  1988.303     17.04
  1989.678     13.87
  1993.574      6.75
  1999.453      5.00
  2002.426     19.83
  2006.061     13.98
  2006.168      9.33
  2008.085     13.35
  2022.988     30.21
  2027.000     19.48
  2029.126     33.52
  2029.567     43.37
  2035.129     30.85
  2035.921      5.00
  2037.245    125.64
  2039.766     12.32
  2047.500     12.46
  2048.410     57.05
  2051.804     41.24
  2058.046      8.34
  2063.206     32.43
  2063.792     19.70
  2070.844     48.88
  2071.488      5.91
  2077.863     23.25
  2083.753      8.08
  2084.295      9.55
  2085.081     22.22
  2085.848     15.13
  2088.878     27.38
  2094.481      5.00
  2098.393     24.21
  2099.230      9.10
  2100.546     51.62
  2106.644     21.52
  2111.738     11.81
  2119.152     40.97
  2121.714     65.41
  2122.158     24.88
  2124.628     23.98
  2124.901      5.99
  2136.126     16.85
  2137.294     21.34
  2137.378     30.24
  2140.387     14.95
  2146.376     21.24
  2148.834     13.54
  2151.370      5.38
  2159.047     10.05
  2160.748     14.76
  2162.038     43.60
  2168.372      6.13
  2170.316     19.20
  2172.026     13.00
  2174.732     22.43
  2177.360     53.35
  2177.870     37.29
  2179.442     38.67
  2181.932     42.87
  2183.241     21.03
  2183.491     42.16
  2190.242     46.04
  2191.715     28.59
  2194.167     15.10
  2198.276     64.46
  2200.329      5.48
  2204.670     66.93
  2206.384     57.17
  2206.783     21.30
  2208.078     36.70
  2208.978      5.00
  2215.920     27.43
  2224.979     24.96
  2227.548     18.91
  2232.395     15.50
  2235.420	5.11
  2245.821     25.39
  2249.085     42.61
  2249.875     10.16
  2252.553     38.43
  2258.431     30.97
  2260.063     10.24
  2267.694     67.84
  2271.570     21.13
  2291.529     64.56
  2291.708     18.76
  2292.083     13.85
  2302.591     13.46
  2311.112      5.72
  2311.855      8.82
  2319.847     11.16
  2321.916     34.55
  2327.417     58.98
  2327.705     28.94
  2328.529     70.87
  2329.834     29.47
  2341.046     14.95
  2346.760     23.89
  2347.117     10.02
  2350.388     31.05
  2354.604     35.33
  2356.329     19.29
  2359.227     30.98
  2366.222     20.83
  2368.022     32.35
  2368.960      5.00
  2371.931     41.34
  2374.207     63.41
  2374.997     37.13
  2376.929     16.20
  2383.092     11.37
  2385.589     59.97
  2386.791      6.24
  2387.291     40.10
  2387.499     32.97
  2388.786     23.73
  2391.672     16.83
  2392.958     30.88
  2393.661     26.71
  2393.879     34.27
  2395.573     29.15
  2407.526      5.00
  2410.751     11.94
  2412.291      8.73
  2420.343     40.05
  2422.459     13.41
  2423.887     28.23
  2430.896      5.92
  2439.173     26.09
  2439.922     29.92
  2441.010     13.02
  2448.159     14.85
  2449.713     32.18
  2453.214     45.31
  2464.179     34.43
  2465.123     15.57
  2466.944     21.91
  2471.140     22.99
  2473.780     57.72
  2474.374     39.15
  2482.288     46.35
  2484.476     11.74
  2494.198     21.99
  2494.901     31.74
  2494.950      5.88
  2495.685     17.98
  2497.214      8.64
  2502.182     31.35
  2514.156     47.12
  2515.511     36.99
  2517.729     20.65
  2523.093      5.00
  2523.324     62.64
  2525.261     22.77
  2528.178     20.06
  2531.238     33.53
  2545.177     18.00
  2547.128     12.93
  2556.680     57.35
  2557.954     62.52
  2563.467     34.79
  2564.465     18.07
  2564.470     61.94
  2574.084     29.15
  2575.125     86.24
  2578.946     32.64
  2580.471     21.68
  2587.958     16.56
  2588.511      5.00
  2589.929     13.24
  2591.502     38.82
  2593.621      5.00
  2595.268     77.03
  2595.986     19.86
  2777.768     34.57
  2782.673     35.94
  2789.572     23.14
  2794.918     47.70
  2804.651     64.93
  2809.999     43.36
  2816.163     15.26
  2819.232     20.68
  2823.988     23.85
  2826.503     42.48
  2835.923     83.64
  2837.536     27.71
  2838.359      5.00
  2838.487     32.14
  2840.145     21.50
  2840.863     83.95
  2843.799      5.00
  2845.693     10.29
  2853.572     26.45
  2854.027      8.63
  2855.655     49.41
  2857.782     82.67
  2860.767     27.32
  2866.975      5.84
  2871.739     15.13
  2872.783     65.92
  2873.861      7.86
  2874.983      5.00
  2877.981      5.00
  2878.623     84.75
  2879.972     27.21
  2886.808     17.41
  2890.133     38.20
  2891.471      5.00
  2892.116     69.17
  2894.100     47.20
  2895.388     23.02
  2896.458     20.87
  2902.027     39.58
  2906.869     49.52
  2912.085     14.86
  2912.458     28.98
  2915.416      8.31
  2918.053      5.39
  2919.682      5.65
  2920.436     81.52
  2921.511     27.33
  2924.982     25.50
  2926.806     14.93
  2930.211     32.71
  2930.307     25.56
  2937.992      8.45
  2940.527     12.38
  2944.388     15.33
  2945.706     54.38
  2946.438     26.81
  2947.431     14.77
  2951.758     29.92
  2953.157     31.79
  2954.356     19.76
  2955.875      5.00
  2958.400     56.62
  2958.677     12.68
  2963.842      5.00
  2964.804     12.98
  2967.490     34.69
  2969.477     19.59
  2969.545     67.78
  2972.009      9.74
  2972.061      8.54
  2984.919      6.53
  2988.164     12.13
  2997.609     15.62
  3004.551     68.37
  3007.488     72.76
  3010.319     23.08
  3010.334     59.37
  3012.274     33.31
  3012.800     22.62
  3030.932     55.55
  3040.276      5.00
  3040.330     43.37
  3040.968     15.51
  3052.202     15.70
  3054.435     30.65
  3054.719     29.79
  3056.365     19.51
  3056.634     32.97
  3061.335     40.97
  3061.827     26.44
  3074.275     46.59
  3081.609     29.06
  3082.978     17.32
  3083.959     44.83
  3084.429     12.81
  3087.816     62.06
  3089.931      7.98
  3091.579     22.27
  3092.481     34.98
  3094.423     28.52
  3095.272      6.25
  3095.368     40.69
  3107.864     91.38
  3108.338     39.57
  3110.607     72.26
  3116.310     21.11
  3117.263     30.14
  3118.019     24.70
  3123.414     20.43
  3123.850     60.57
  3134.710     58.31
  3135.117     14.18
  3142.986     33.11
  3145.445      5.00
  3145.574     29.07
  3145.924     11.92
  3146.953     34.72
  3147.586     18.68
  3149.582     46.33
  3151.284     35.91
  3153.431     27.16
  3157.853      5.22
  3160.764     17.88
  3168.097     33.37
  3173.460      9.96
  3176.913     10.23
  3178.537     31.46
  3178.786     68.94
  3182.355      6.12
  3188.361     32.64
  3188.772     46.46
  3190.984     41.86
  3192.759     22.39
  3196.918     33.81
  3202.257     24.25
  3203.699     31.55
  3210.230     29.18
  3210.770      9.54
  3212.092     16.68
  3213.259     12.91
  3215.578      6.97
  3220.296     20.03
  3225.530     19.08
  3227.587     58.89
  3229.059      5.00
  3234.768     59.31
  3248.634     16.95
  3254.974     18.96
  3261.181     30.24
  3273.029     48.34
  3277.000     32.11
  3278.212     16.42
  3279.060     56.46
  3280.300      5.24
  3281.460     26.01
  3282.440     30.56
  3294.783     45.93
  3298.455     11.83
  3299.315     32.12
  3299.795     25.41
  3304.086     26.11
  3308.754      6.16
  3313.785      5.00
  3317.607     76.48
  3323.238     15.27
  3323.886     10.81
  3324.633     20.18
  3324.797     16.90
  3328.019     55.90
  3335.409     11.81
  3336.657     16.14
  3343.003     34.02
  3343.272     20.66
  3344.399     68.62
  3344.992     18.95
  3347.230     36.94
  3347.797     73.31
  3360.026     60.26
  3361.565     47.58
  3363.460     12.49
  3365.316     19.19
  3373.710     41.23
  3379.353     49.38
  3386.581     16.73
  3386.633     19.58
  3397.745     22.82
  3404.037     15.14
  3407.277     26.20
  3409.813     11.70
  3411.722     15.21
  3416.416     19.84
  3421.449     65.33
  3421.703     34.96
  3422.033     19.63
  3425.017     65.19
  3428.585     20.75
  3431.460      5.00
  3431.499     31.84
  3436.315     22.06
  3436.715     36.50
  3437.683      5.00
  3439.957     15.55
  3444.703     71.38
  3444.893     60.02
  3446.823     21.08
  3448.076     73.10
  3449.630     43.24
  3451.260     62.76
  3452.179      9.99
  3455.614     34.37
  3457.967     28.01
  3460.834     30.65
  3461.327      7.17
  3466.123     51.19
  3468.100     75.16
  3469.178      5.61
  3469.408     73.46
  3470.837     22.66
  3471.602      5.00
  3475.804     65.53
  3476.443     27.75
  3481.137     17.20
  3488.927     14.87
  3489.117      8.55
  3491.409     30.95
  3517.350      6.89
  3524.756     44.54
  3534.683     16.30
  3535.758     18.41
  3535.767     44.68
  3541.283     19.03
  3542.628      5.00
  3549.196     59.51
  3552.154     45.06
  3557.758      9.00
  3558.318     52.29
  3562.463     22.07
  3570.611     17.79
  3575.975     23.40
  3576.129     71.02
  3576.978      5.00
  3580.213     12.15
  3586.741     46.40
  3599.741     49.30
