Angle_deg,Intensity_counts
-19.812,89.5
-19.65,77.1
-19.495,80.1
-19.346,79.2
-19.201,57.0
-19.053,59.5
-18.912,42.0
-18.751,23.4
-18.584,8.6
-18.452,16.3
-18.3,17.2
-18.136,29.7
-17.999,44.9
-17.847,55.0
-17.712,72.8
-17.542,84.5
-17.386,114.7
-17.251,84.8
-17.09,89.3
-16.94,58.3
-16.827,59.1
-16.637,21.2
-16.514,15.4
-16.346,13.6
-16.195,17.3
-16.052,33.4
-15.904,53.4
-15.754,88.4
-15.605,130.4
-15.455,170.8
-15.307,179.8
-15.151,188.7
-14.999,170.0
-14.852,131.5
-14.697,
-14.558,67.6
-14.398,30.2
-14.242,8.6
-14.084,31.6
-13.963,81.2
-13.793,226.3
-13.647,432.6
-13.52,645.7
-13.356,984.0
-13.21,1377.0
-13.045,1802.1
-12.885,2305.5
-12.737,2663.7
-12.598,3046.1
-12.436,3247.1
-12.296,3539.6
-12.148,3414.7
-12.015,3628.8
-11.857,3387.4
-11.704,3059.6
-11.558,2742.1
-11.41,2284.7
-11.255,1784.2
-11.09,1424.2
-10.945,1027.1
-10.797,701.7
-10.654,399.7
-10.505,197.4
-10.35,76.9
-10.207,20.8
-10.048,19.1
-9.901,56.5
-9.753,115.9
-9.598,161.9
-9.45,221.7
-9.297,204.8
-9.159,232.2
-9.01,248.6
-8.858,185.2
-8.71,124.2
-8.538,84.6
-8.409,36.6
-8.247,17.8
-8.093,20.6
-7.936,23.1
-7.802,37.7
-7.656,57.7
-7.499,98.0
-7.333,130.4
-7.203,131.2
-7.041,143.8
-6.891,119.9
-6.762,119.8
-6.589,70.2
-6.443,42.0
-6.316,22.1
-6.141,12.9
-5.988,15.4
-5.849,28.6
-5.697,45.8
-5.543,69.6
-5.397,98.8
-5.259,117.6
-5.112,139.0
-4.958,139.7
-4.807,147.7
-4.644,125.4
-4.513,67.6
-4.359,53.6
-4.209,27.3
-4.038,8.5
-3.884,21.9
-3.746,36.8
-3.592,74.2
-3.444,132.3
-3.309,180.1
-3.157,230.0
-2.996,242.6
-2.849,269.0
-2.721,248.2
-2.56,198.1
-2.401,123.8
-2.265,76.6
-2.094,18.1
-1.944,18.7
-1.788,82.9
-1.662,160.5
-1.503,482.4
-1.342,782.9
-1.209,1202.1
-1.05,1743.8
-0.907,2211.4
-0.751,2797.7
-0.613,3350.6
-0.45,3776.0
-0.285,4095.0
-0.139,4095.0
-0.007,4095.0
0.148,4095.0
0.289,4095.0
0.459,3878.2
0.602,3354.3
0.76,2706.1
0.899,2289.0
1.043,1773.9
1.207,1170.6
1.337,829.8
1.497,444.5
1.661,229.6
1.793,93.0
1.922,24.5
2.089,18.1
2.268,66.2
2.396,138.4
2.537,184.7
2.694,241.5
2.863,279.1
2.994,257.6
3.138,234.6
3.317,170.2
3.45,139.3
3.607,72.7
3.734,54.6
3.913,14.6
4.051,16.2
4.215,27.6
4.361,45.0
4.5,75.8
4.651,99.0
4.8,131.5
4.979,137.6
5.109,147.7
5.264,145.3
5.408,75.1
5.531,86.2
5.687,54.0
5.865,16.3
6.002,10.9
6.144,14.7
6.306,30.7
6.452,55.7
6.622,90.2
6.744,101.4
6.894,117.1
7.053,127.2
7.211,126.8
7.351,123.6
7.507,96.5
7.649,63.6
7.799,33.6
7.948,20.0
8.096,11.9
8.259,30.4
8.396,36.8
8.561,93.8
8.684,143.0
8.828,158.1
9.027,215.0
9.138,215.8
9.309,191.9
9.452,185.5
9.61,172.5
9.774,101.5
9.902,45.6
10.058,13.4
10.197,18.2
10.356,68.9
10.487,173.6
10.665,388.1
10.801,653.5
10.94,966.3
11.099,1452.6
11.249,1857.7
11.413,2257.6
11.535,2645.6
11.692,2996.2
11.857,3360.7
11.995,
12.15,3571.5
12.305,3497.8
12.441,3350.7
12.604,2987.4
12.734,2727.5
12.886,2333.8
13.051,1888.3
13.192,1482.6
13.341,1064.9
13.491,707.8
13.651,477.7
13.797,271.0
13.95,97.4
14.106,34.1
14.269,21.7
14.397,28.4
14.562,67.8
14.697,117.0
14.84,146.3
15.004,172.3
15.147,184.8
15.317,158.7
15.441,150.4
15.604,128.5
15.758,101.9
15.906,65.0
16.069,22.9
16.19,21.8
16.351,12.5
16.502,18.0
16.665,32.9
16.786,46.9
16.934,83.8
17.097,88.3
17.254,79.1
17.395,77.1
17.544,87.9
17.697,73.9
17.855,55.5
18.01,37.7
18.146,23.3
18.289,13.5
18.455,15.1
18.593,13.7
18.769,26.7
18.899,45.6
19.056,60.4
19.191,72.1
19.355,58.6
19.495,79.1
19.645,84.4
19.803,74.3
19.95,61.8
20.108,39.4
20.25,36.3
20.408,18.7
20.551,10.2
20.695,8.0
20.861,19.5
20.999,37.4
21.146,48.8
21.294,91.2
21.456,113.4
21.588,125.0
21.733,124.8
21.896,118.0
22.044,111.2
22.195,89.5
22.354,39.0
22.518,29.7
22.652,14.5
22.796,13.5
22.938,23.5
23.092,59.3
23.238,158.5
23.384,254.0
23.546,368.9
23.708,537.1
23.85,732.1
24.0,899.4
24.146,1083.7
24.3,1305.4
24.447,1409.1
24.587,1536.7
24.755,1624.0
24.896,1502.7
25.047,1638.6
25.185,1599.1
25.363,1394.8
25.513,1215.2
25.64,1092.1
25.787,1049.6
25.939,739.6
26.106,607.8
26.262,408.2
26.394,276.4
26.536,175.3
26.688,108.2
26.854,51.4
27.0,27.4
27.144,13.8
27.29,21.7
27.436,21.5
27.6,49.6
27.753,59.2
27.907,68.6
28.042,69.2
28.207,84.8
28.342,78.9
28.497,77.1
28.669,43.4
28.814,43.0
28.946,41.1
29.121,20.8
29.241,19.2
29.395,11.6
29.531,13.5
29.695,16.5
29.854,17.7
30.013,28.3
30.165,28.7
30.303,37.1
30.463,37.6
30.584,35.9
30.758,33.6
30.896,39.3
31.051,31.4
31.197,23.9
31.346,25.6
31.505,13.0
31.644,8.2
31.801,10.1
31.952,19.1
32.102,15.0
32.264,17.9
32.418,18.7
32.534,27.5
32.71,27.5
32.842,28.4
33.0,36.3
33.161,39.6
33.281,27.5
33.456,28.8
33.597,21.0
33.747,16.4
33.9,14.9
34.042,13.3
34.188,12.6
34.345,10.7
34.491,9.4
34.658,10.2
34.792,30.2
34.956,28.5
35.086,33.4
35.255,33.3
35.418,44.3
35.565,34.3
35.699,46.4
35.87,27.1
35.969,31.4
36.146,30.3
36.282,16.1
36.435,13.2
36.584,11.4
36.737,10.1
36.89,8.1
37.047,21.5
37.211,43.3
37.355,45.7
37.496,63.7
37.642,81.2
37.795,110.3
37.975,128.8
38.084,150.6
38.265,196.3
38.403,236.5
38.55,271.2
38.731,263.4
38.854,282.3
38.993,270.5
39.153,238.9
39.311,244.7
39.458,254.5
39.604,243.3
39.746,217.5
39.889,215.7
40.053,168.9
40.208,137.8
40.344,131.7
40.488,102.9
40.636,86.8
40.785,58.0
40.946,46.4
41.086,46.1
41.26,21.5
41.382,17.1
41.541,16.0
41.709,12.0
41.853,11.9
42.001,14.8
42.145,12.5
42.297,11.8
42.453,18.7
42.608,15.8
42.751,14.1
42.902,18.1
43.037,19.2
43.207,16.1
43.369,24.0
43.494,16.7
43.653,23.4
43.793,10.3
43.955,19.6
44.105,15.4
44.233,13.3
44.397,17.2
44.548,12.0
44.694,11.6
44.854,8.7
44.994,16.9
