# Diffraction Grating Intensity Scan
# Wavelength_nm: 632.8
# Grating_spacing_nm: 3000.0
# Slit_width_nm: 800.0
# Date: 2026-08-01
Angle         Intensity
 13.200     1473.7
 13.350     1063.2
 13.500      697.0
 13.650      419.1
 13.800      247.8
 13.950      108.7
 14.100       38.2
 14.250        9.7
 14.400       25.3
 14.550       61.3
 14.700      105.9
 14.850      169.0
 15.000      179.2
 15.150      203.1
 15.300      175.8
 15.450      148.4
 15.600      104.2
 15.750       88.5
 15.900       68.3
 16.050       23.8
 16.200       15.9
 16.350       11.0
 16.500       12.2
 16.650       30.0
 16.800       52.9
 16.950       75.1
 17.100       83.3
 17.250       98.1
 17.400      103.8
 17.550       79.4
 17.700       53.3
 17.850       58.7
 18.000       41.8
 18.150       21.4
 18.300        9.0
 18.450        9.2
 18.600       18.5
 18.750       26.7
 18.900       42.3
 19.050       52.4
 19.200       66.8
 19.350       69.9
 19.500       92.2
 19.650       74.6
 19.800       79.7
 19.950       53.7
 20.100       48.2
 20.250       35.1
 20.400       17.1
 20.550        8.9
 20.700       11.9
 20.850       20.4
 21.000       48.0
 21.150       71.5
 21.300       83.5
 21.450      106.8
 21.600      116.4
 21.750      151.5
 21.900      120.9
 22.050      110.9
 22.200       81.2
 22.350       51.4
 22.500       30.6
 22.650       16.5
 22.800       13.1
 22.950       27.0
 23.100       75.1
 23.250      167.1
 23.400      266.4
 23.550      379.4
 23.700      557.8
 23.850      721.5
 24.000      952.1
 24.150     1062.2
 24.300     1280.4
 24.450     1391.2
 24.600     1571.8
 24.750     1579.3
 24.900     1641.7
 25.050     1525.6
 25.200     1480.9
 25.350     1473.2
 25.500     1228.0
 25.650     1100.9
 25.800      932.5
 25.950      714.2
 26.100      547.6
 26.250      415.6
 26.400      307.5
 26.550      187.3
 26.700       93.4
 26.850       54.3
 27.000       27.4
 27.150       11.9
 27.300        9.1
 27.450       18.0
 27.600       48.9
 27.750       69.7
 27.900       70.2
 28.050       64.3
 28.200       68.2
 28.350       74.4
 28.500       68.1
 28.650       59.3
 28.800       45.6
 28.950       33.6
 29.100       24.2
 29.250       19.8
 29.400       20.5
 29.550       14.4
 29.700       17.3
 29.850       13.3
 30.000       26.8
 30.150       27.0
 30.300       37.0
 30.450       27.6
 30.600       36.1
 30.750       46.9
 30.900       43.0
 31.050       25.7
 31.200       27.6
 31.350       18.2
 31.500       15.9
 31.650        9.7
 31.800       13.6
 31.950       19.1
 32.100       20.8
 32.250       21.5
 32.400       17.5
 32.550       16.7
 32.700       28.7
 32.850       33.3
 33.000       38.8
 33.150       31.7
 33.300       34.0
 33.450       22.8
 33.600       21.8
 33.750       13.9
 33.900       21.9
 34.050       12.7
 34.200        9.5
 34.350        7.1
 34.500       17.2
 34.650       21.8
 34.800       26.0
 34.950       20.5
 35.100       34.4
 35.250       35.0
 35.400       33.9
 35.550       35.2
 35.700       35.1
 35.850       35.1
 36.000       31.6
 36.150       22.1
 36.300       25.1
 36.450       16.8
 36.600       13.1
 36.750       11.8
 36.900       16.9
 37.050       28.9
 37.200       36.9
 37.350       37.5
 37.500       59.3
 37.650       97.8
 37.800      118.4
 37.950      145.3
 38.100      178.6
 38.250      196.6
 38.400      198.1
 38.550      232.7
 38.700      258.3
 38.850      267.9
 39.000      276.3
 39.150      235.1
 39.300      269.7
 39.450      243.7
 39.600      221.9
 39.750      218.6
 39.900      217.4
 40.050      172.5
 40.200      133.1
 40.350      129.3
 40.500      108.6
 40.650       69.1
 40.800       63.1
 40.950       46.7
 41.100       34.8
 41.250       20.9
 41.400       18.0
 41.550       16.4
 41.700       14.6
 41.850       15.9
 42.000       12.1
 42.150       17.3
 42.300       17.2
 42.450       14.5
 42.600       19.0
 42.750       23.8
 42.900       12.3
 43.050       16.8
 43.200       18.5
 43.350       21.0
 43.500       12.5
 43.650       16.1
 43.800       13.3
 43.950       10.8
 44.100       17.2
 44.250       14.5
 44.400        8.9
 44.550       11.9
 44.700        9.6
 44.850        7.1
 45.000       15.5
