Event_ID,Timestamp_s,Pulse_Height_mV
256,760.681,45.56
257,761.445,5.0
258,764.097,14.21
259,767.331,12.84
260,771.634,16.47
261,772.014,37.07
262,777.249,51.87
263,777.436,30.24
264,778.523,54.48
265,779.911,12.31
266,780.945,12.42
267,787.496,33.62
268,788.726,12.81
269,799.143,20.34
270,802.435,22.36
271,804.808,13.47
272,807.581,5.0
273,810.372,8.58
274,814.92,86.11
275,828.148,9.98
276,828.761,29.55
277,829.854,19.63
278,835.699,69.14
279,837.93,33.28
280,842.81,38.93
281,844.004,57.31
282,854.421,42.75
283,855.047,8.07
284,856.643,17.85
285,858.902,65.22
286,863.034,32.93
287,863.692,6.3
288,866.592,12.26
289,869.466,73.49
290,871.628,5.0
291,871.746,41.82
292,872.585,71.19
293,874.775,29.8
294,875.384,7.82
295,879.425,31.53
296,889.108,89.13
297,889.838,35.33
298,891.531,11.37
299,893.057,33.84
300,895.343,71.64
301,1079.776,30.96
302,1080.146,10.78
303,1082.378,14.69
304,1084.44,36.0
305,1087.506,33.06
306,1094.012,39.99
307,1096.403,58.14
308,1099.631,74.16
309,1104.778,32.9
310,1108.407,87.29
311,1119.216,6.84
312,1120.26,24.02
313,1122.783,31.07
314,1123.37,24.88
315,1126.86,21.98
316,1127.931,9.02
317,1135.809,18.4
318,1139.94,5.0
319,1145.888,19.44
320,1146.084,76.0
321,1147.108,21.22
322,1147.19,50.77
323,1150.009,32.1
324,1151.409,36.01
325,1158.335,28.69
326,1166.919,39.34
327,1168.918,44.71
328,1171.054,5.0
329,1172.76,16.21
330,1176.045,8.9
331,1188.67,19.43
332,1189.116,5.86
333,1189.494,43.64
334,1196.928,12.29
335,1199.835,53.02
336,1200.022,33.84
337,1200.159,64.78
338,1204.837,5.0
339,1206.221,5.79
340,1209.787,5.0
341,1211.594,16.03
342,1228.859,51.37
343,1234.015,8.71
344,1234.24,63.22
345,1241.013,57.17
346,1243.582,16.01
347,1244.199,24.15
348,1246.618,20.48
349,1247.988,38.27
350,1249.867,60.64
351,1250.087,12.49
352,1253.788,67.15
353,1256.859,15.96
354,1258.43,30.65
355,1260.53,16.38
356,1260.87,17.11
357,1265.47,16.83
358,1270.623,29.65
359,1272.481,40.68
360,1276.578,17.17
361,1280.234,75.19
362,1285.161,17.03
363,1286.171,17.36
364,1288.714,6.83
365,1294.478,7.96
366,1294.608,39.26
367,1295.911,14.47
368,1296.424,10.46
369,1297.137,5.0
370,1298.077,34.12
371,1299.107,24.87
372,1299.612,8.26
373,1302.057,15.43
374,1303.186,48.28
375,1306.357,19.86
376,1313.412,17.62
377,1316.086,133.0
378,1325.358,49.93
379,1328.094,40.36
380,1329.528,63.66
381,1331.046,27.5
382,1334.017,56.37
383,1334.167,25.25
384,1335.368,67.91
385,1339.122,21.91
386,1344.463,44.53
387,1346.512,26.37
388,1351.945,18.1
389,1364.311,52.87
390,1367.872,56.19
391,1377.755,64.9
392,1379.738,23.67
393,1380.033,34.09
394,1386.472,80.69
395,1388.792,25.56
396,1390.62,24.54
397,1398.906,11.65
398,1404.654,41.8
399,1408.251,38.99
400,1408.503,51.36
401,1410.659,9.94
402,1415.471,9.34
403,1417.304,65.89
404,1429.7,33.51
405,1434.788,26.02
406,1437.692,24.29
407,1439.169,32.82
408,1440.785,14.73
409,1444.007,33.81
410,1444.543,31.1
411,1447.816,11.15
412,1452.513,43.78
413,1453.017,55.05
414,1456.841,5.0
415,1457.231,20.11
416,1458.513,27.19
417,1459.791,73.58
418,1465.17,37.18
419,1468.047,5.0
420,1471.412,27.09
421,1471.574,14.6
422,1481.395,46.31
423,1488.081,34.28
424,1491.306,45.96
425,1492.395,15.59
426,1492.547,67.97
427,1494.875,24.02
428,1497.422,28.98
429,1497.435,7.95
430,1498.43,8.63
431,1498.813,26.96
432,1501.248,12.22
433,1502.082,27.72
434,1503.227,11.61
435,1504.979,20.8
436,1514.933,40.83
437,1515.485,20.12
438,1517.72,57.11
439,1523.714,9.37
440,1525.142,21.64
441,1531.905,15.0
442,1535.536,18.64
443,1541.732,38.63
444,1542.754,31.34
445,1544.085,17.15
446,1551.366,8.3
447,1551.996,24.85
448,1552.137,33.47
449,1554.148,27.91
450,1556.097,80.91
451,1558.045,13.02
452,1560.437,48.14
453,1560.98,61.19
454,1561.509,33.11
455,1562.789,11.24
456,1563.263,102.27
457,1563.546,28.1
458,1567.211,26.2
459,1568.624,34.2
460,1569.678,9.31
461,1570.182,43.8
462,1574.0,71.72
463,1574.594,13.12
464,1575.432,14.6
465,1578.814,21.14
466,1584.375,41.82
467,1593.605,58.17
468,1597.17,21.57
469,1601.316,27.54
470,1601.891,29.81
471,1603.687,90.67
472,1605.285,34.17
473,1605.784,62.75
474,1607.841,21.74
475,1613.954,30.96
476,1614.766,22.43
477,1618.908,27.7
478,1621.468,47.76
479,1622.773,19.45
480,1628.741,16.3
481,1640.2,19.16
482,1641.579,67.31
483,1657.604,23.95
484,1658.108,42.56
485,1660.427,46.2
486,1660.543,77.59
487,1665.106,25.06
488,1667.734,29.06
489,1667.8,7.32
490,1676.353,32.8
491,1678.048,21.66
492,1680.214,30.99
493,1688.582,26.86
494,1691.011,60.61
495,1693.476,25.87
496,1697.444,25.85
497,1704.869,19.5
498,1711.48,44.77
499,1717.427,19.19
500,1723.746,33.15
501,1723.995,13.36
502,1727.008,28.6
503,1728.732,5.4
504,1735.348,18.06
505,1741.94,13.06
506,1749.436,17.47
507,1754.632,37.91
508,1756.012,45.28
509,1757.921,65.37
510,1758.118,27.62
511,1759.097,25.87
512,1760.412,17.15
513,1761.597,9.48
514,1762.763,19.57
515,1763.415,52.25
516,1764.214,28.66
517,1765.128,10.35
518,1766.145,34.24
519,1766.416,71.06
520,1767.843,25.77
521,1768.731,13.93
522,1772.15,62.07
523,1774.527,29.52
524,1776.039,9.26
525,1779.367,42.42
526,1779.478,79.71
527,1779.686,16.12
528,1782.836,42.45
529,1784.858,
530,1786.897,25.08
531,1791.321,52.94
532,1799.009,6.66
533,1799.103,5.03
534,1799.148,5.05
535,1799.154,6.17
536,1799.323,6.82
537,1799.353,6.68
538,1799.452,5.58
539,1799.523,5.55
540,1799.615,5.2
541,1799.706,6.5
542,1799.722,6.65
543,1799.731,6.25
544,1799.787,6.74
545,1799.837,6.2
546,1799.838,6.25
547,1799.877,5.14
548,1799.898,5.87
549,1799.945,5.23
550,1799.967,5.46
551,1800.143,6.99
552,1800.19,6.56
553,1800.363,5.54
554,1800.417,6.69
555,1800.614,6.92
556,1800.656,6.52
557,1800.667,6.28
558,1800.792,6.4
559,1800.875,5.15
560,1800.997,5.54
561,1802.599,73.91
562,1803.118,75.09
563,1803.606,39.12
564,1811.164,85.32
565,1813.197,53.97
566,1813.992,5.0
567,1819.221,12.72
568,1822.432,62.69
569,1824.242,13.41
570,1824.485,47.41
571,1825.591,22.44
572,1825.75,33.12
573,1831.532,32.01
574,1836.554,11.2
575,1843.077,22.56
576,1850.374,9.41
577,1850.59,7.21
578,1853.112,36.1
579,1854.836,15.8
580,1858.376,22.91
581,1861.794,98.73
582,1868.366,5.0
583,1874.781,35.79
584,1876.17,18.71
585,1877.132,52.64
586,1882.6,38.34
587,1883.86,30.3
588,1885.241,19.89
589,1885.898,20.53
590,1886.947,9.0
591,1888.284,41.25
592,1894.447,15.9
593,1905.3,41.24
594,1913.236,34.9
595,1913.73,35.37
596,1917.746,21.7
597,1918.377,9.93
598,1918.525,10.65
599,1921.67,19.0
600,1925.138,39.26
601,1925.222,25.71
602,1930.532,17.14
603,1932.829,5.0
604,1933.874,7.21
605,1934.419,37.05
606,1936.984,36.33
607,1938.21,20.77
608,1949.051,18.91
609,1954.012,29.18
610,1954.82,18.87
611,1955.434,30.21
612,1955.473,8.51
613,1958.278,18.21
614,1960.495,35.64
615,1964.037,49.34
616,1966.424,42.05
617,1973.647,75.53
618,1974.701,58.96
619,1977.603,7.57
620,1981.551,40.9
621,1981.923,20.12
622,1984.415,52.04
623,1988.303,17.04
624,1989.678,13.87
625,1993.574,6.75
626,1999.453,5.0
627,2002.426,19.83
628,2006.061,13.98
629,2006.168,9.33
630,2008.085,13.35
631,2022.988,30.21
632,2027.0,19.48
633,2029.126,33.52
634,2029.567,43.37
635,2035.129,30.85
636,2035.921,5.0
637,2037.245,125.64
638,2039.766,12.32
639,2047.5,12.46
640,2048.41,57.05
641,2051.804,41.24
642,2058.046,8.34
643,2063.206,32.43
644,2063.792,19.7
645,2070.844,48.88
646,2071.488,5.91
647,2077.863,23.25
648,2083.753,8.08
649,2084.295,9.55
650,2085.081,22.22
651,2085.848,15.13
652,2088.878,27.38
653,2094.481,5.0
654,2098.393,24.21
655,2099.23,9.1
656,2100.546,51.62
657,2106.644,21.52
658,2111.738,11.81
659,2119.152,40.97
660,14:35:21,65.41
661,2122.158,24.88
662,2124.628,23.98
663,2124.901,5.99
664,2136.126,16.85
665,2137.294,21.34
666,2137.378,30.24
667,2140.387,14.95
668,2146.376,21.24
669,2148.834,13.54
670,2151.37,5.38
671,2159.047,10.05
672,2160.748,14.76
673,2162.038,43.6
674,2168.372,6.13
675,2170.316,19.2
676,2172.026,13.0
677,2174.732,22.43
678,2177.36,53.35
679,2177.87,37.29
680,2179.442,38.67
681,2181.932,42.87
682,2183.241,21.03
683,2183.491,42.16
684,2190.242,46.04
685,2191.715,28.59
686,2194.167,15.1
687,2198.276,64.46
688,2200.329,5.48
689,2204.67,66.93
690,2206.384,57.17
691,2206.783,21.3
692,2208.078,36.7
693,2208.978,5.0
694,2215.92,27.43
695,2224.979,24.96
696,2227.548,18.91
697,2232.395,15.5
698,2235.42,5.11
699,2245.821,25.39
700,2249.085,42.61
701,2249.875,10.16
702,2252.553,38.43
703,2258.431,30.97
704,2260.063,10.24
705,2267.694,67.84
706,2271.57,21.13
707,2291.529,64.56
708,2291.708,18.76
709,2292.083,13.85
710,2302.591,13.46
711,2311.112,5.72
712,2311.855,8.82
713,2319.847,11.16
714,2321.916,34.55
715,2327.417,58.98
716,2327.705,28.94
717,2328.529,70.87
718,2329.834,29.47
719,2341.046,14.95
720,2346.76,23.89
721,2347.117,10.02
722,2350.388,31.05
723,2354.604,35.33
724,2356.329,19.29
725,2359.227,30.98
726,2366.222,20.83
727,2368.022,32.35
728,2368.96,5.0
729,2371.931,41.34
730,2374.207,63.41
731,2374.997,37.13
732,2376.929,16.2
733,2383.092,11.37
734,2385.589,59.97
735,2386.791,6.24
736,2387.291,40.1
737,2387.499,32.97
738,2388.786,23.73
739,2391.672,16.83
740,2392.958,30.88
741,2393.661,26.71
742,2393.879,34.27
743,2395.573,29.15
744,2407.526,5.0
745,2410.751,11.94
746,2412.291,8.73
747,2420.343,40.05
748,2422.459,13.41
749,2423.887,28.23
750,2430.896,5.92
751,2439.173,26.09
752,2439.922,29.92
753,2441.01,13.02
754,2448.159,14.85
755,2449.713,32.18
756,2453.214,45.31
757,2464.179,34.43
758,2465.123,15.57
759,2466.944,21.91
760,2471.14,22.99
761,2473.78,57.72
762,2474.374,39.15
763,2482.288,46.35
764,2484.476,11.74
765,2494.198,21.99
766,2494.901,31.74
767,2494.95,5.88
768,2495.685,17.98
769,2497.214,8.64
770,2502.182,31.35
771,2514.156,47.12
772,2515.511,36.99
773,2517.729,20.65
774,2523.093,5.0
775,2523.324,62.64
776,2525.261,22.77
777,2528.178,20.06
778,2531.238,33.53
779,2545.177,18.0
780,2547.128,12.93
781,2556.68,57.35
782,2557.954,62.52
783,2563.467,34.79
784,2564.465,18.07
785,2564.47,61.94
786,2574.084,29.15
787,2575.125,86.24
788,2578.946,32.64
789,2580.471,21.68
790,2587.958,16.56
791,2588.511,5.0
792,2589.929,13.24
793,2591.502,38.82
794,2593.621,5.0
795,2595.268,77.03
796,2595.986,19.86
797,2777.768,34.57
798,2782.673,35.94
799,2789.572,23.14
800,2794.918,47.7
801,2804.651,64.93
802,2809.999,43.36
803,2816.163,15.26
804,2819.232,20.68
805,2823.988,23.85
806,2826.503,42.48
807,2835.923,83.64
808,2837.536,27.71
809,2838.359,5.0
810,2838.487,32.14
811,2840.145,21.5
812,2840.863,83.95
813,2843.799,5.0
814,2845.693,10.29
815,2853.572,26.45
816,2854.027,8.63
817,2855.655,49.41
818,2857.782,82.67
819,2860.767,27.32
820,2866.975,5.84
821,2871.739,15.13
822,2872.783,65.92
823,2873.861,7.86
824,2874.983,5.0
825,2877.981,5.0
826,2878.623,84.75
827,2879.972,27.21
828,2886.808,17.41
829,2890.133,38.2
830,2891.471,5.0
831,2892.116,69.17
832,2894.1,47.2
833,2895.388,23.02
834,2896.458,20.87
835,2902.027,39.58
836,2906.869,49.52
837,2912.085,14.86
838,2912.458,28.98
839,2915.416,8.31
840,2918.053,5.39
841,2919.682,5.65
842,2920.436,81.52
843,2921.511,27.33
844,2924.982,25.5
845,14:48:46,14.93
846,2930.211,32.71
847,14:48:50,25.56
848,2937.992,8.45
849,2940.527,12.38
850,2944.388,15.33
851,2945.706,54.38
852,2946.438,26.81
853,2947.431,14.77
854,2951.758,29.92
855,2953.157,31.79
856,2954.356,19.76
857,2955.875,5.0
858,2958.4,56.62
859,2958.677,12.68
860,2963.842,5.0
861,2964.804,12.98
862,2967.49,34.69
863,2969.477,19.59
864,2969.545,67.78
865,2972.009,9.74
866,2972.061,8.54
867,2984.919,6.53
868,2988.164,12.13
869,2997.609,15.62
870,3004.551,68.37
871,3007.488,72.76
872,3010.319,23.08
873,3010.334,59.37
874,3012.274,33.31
875,3012.8,22.62
876,3030.932,55.55
877,3040.276,5.0
878,3040.33,43.37
879,3040.968,15.51
880,3052.202,15.7
881,3054.435,30.65
882,3054.719,29.79
883,3056.365,19.51
884,3056.634,32.97
885,3061.335,40.97
886,3061.827,26.44
887,3074.275,46.59
888,3081.609,29.06
889,3082.978,17.32
890,3083.959,44.83
891,3084.429,12.81
892,3087.816,62.06
893,3089.931,7.98
894,3091.579,22.27
895,3092.481,34.98
896,3094.423,28.52
897,3095.272,6.25
898,3095.368,40.69
899,3107.864,91.38
900,3108.338,39.57
901,3110.607,72.26
902,3116.31,21.11
903,3117.263,30.14
904,3118.019,24.7
905,3123.414,20.43
906,3123.85,60.57
907,3134.71,58.31
908,3135.117,14.18
909,14:52:22,33.11
910,3145.445,5.0
911,3145.574,29.07
912,3145.924,11.92
913,3146.953,34.72
914,3147.586,18.68
915,3149.582,46.33
916,3151.284,35.91
917,3153.431,27.16
918,3157.853,5.22
919,3160.764,17.88
920,3168.097,33.37
921,3173.46,9.96
922,3176.913,10.23
923,3178.537,31.46
924,3178.786,68.94
925,3182.355,6.12
926,3188.361,32.64
927,3188.772,46.46
928,3190.984,41.86
929,3192.759,22.39
930,3196.918,33.81
931,3202.257,24.25
932,3203.699,31.55
933,3210.23,29.18
934,3210.77,9.54
935,3212.092,16.68
936,3213.259,12.91
937,3215.578,6.97
938,3220.296,20.03
939,3225.53,19.08
940,3227.587,58.89
941,3229.059,5.0
942,3234.768,59.31
943,3248.634,16.95
944,3254.974,18.96
945,3261.181,30.24
946,3273.029,48.34
947,3277.0,32.11
948,3278.212,16.42
949,3279.06,56.46
950,3280.3,5.24
951,3281.46,26.01
952,3282.44,30.56
953,3294.783,45.93
954,3298.455,11.83
955,3299.315,32.12
956,3299.795,25.41
957,3304.086,26.11
958,3308.754,6.16
959,3313.785,5.0
960,3317.607,76.48
961,3323.238,15.27
962,3323.886,10.81
963,3324.633,20.18
964,3324.797,16.9
965,3328.019,55.9
966,3335.409,11.81
967,3336.657,16.14
968,3343.003,34.02
969,3343.272,20.66
970,3344.399,68.62
971,3344.992,18.95
972,3347.23,36.94
973,3347.797,73.31
974,3360.026,60.26
975,3361.565,47.58
976,3363.46,12.49
977,3365.316,19.19
978,3373.71,41.23
979,3379.353,49.38
980,3386.581,16.73
981,3386.633,19.58
982,3397.745,22.82
983,3404.037,15.14
984,3407.277,26.2
985,3409.813,11.7
986,3411.722,15.21
987,3416.416,19.84
988,3421.449,65.33
989,3421.703,34.96
990,3422.033,19.63
991,3425.017,65.19
992,3428.585,20.75
993,3431.46,5.0
994,3431.499,31.84
995,3436.315,22.06
996,3436.715,36.5
997,3437.683,5.0
998,3439.957,15.55
999,3444.703,71.38
1000,3444.893,60.02
1001,3446.823,21.08
1002,3448.076,73.1
1003,3449.63,43.24
1004,3451.26,62.76
1005,3452.179,9.99
1006,3455.614,34.37
1007,3457.967,28.01
1008,3460.834,30.65
1009,3461.327,7.17
1010,3466.123,51.19
1011,3468.1,75.16
1012,3469.178,5.61
1013,3469.408,73.46
1014,3470.837,22.66
1015,3471.602,5.0
1016,3475.804,65.53
1017,3476.443,27.75
1018,3481.137,17.2
1019,3488.927,14.87
1020,3489.117,8.55
1021,3491.409,30.95
1022,3517.35,6.89
1023,3524.756,44.54
1024,3534.683,16.3
1025,3535.758,18.41
1026,3535.767,44.68
1027,3541.283,19.03
1028,3542.628,5.0
1029,3549.196,59.51
1030,3552.154,45.06
1031,3557.758,9.0
1032,3558.318,52.29
1033,3562.463,22.07
1034,3570.611,17.79
1035,3575.975,23.4
1036,3576.129,71.02
1037,3576.978,5.0
1038,3580.213,12.15
1039,3586.741,46.4
1040,3599.741,49.3
